[2026-09-08 10:49:39] START duration_hours=6 interval_seconds=5 gateway=192.168.4.1 external_target=8.8.8.8
[2026-09-08 11:04:33] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=20.1ms gateway_error=none internet_error=none
[2026-09-08 11:04:38] gateway=OK gateway_rtt=5.6ms internet=FAIL internet_rtt=N/A gateway_error=none internet_error=ping command timed out
[2026-09-08 11:04:38] EVENT_START type=INTERNET_ONLY gateway=OK internet=FAIL
[2026-09-08 11:04:48] gateway=OK gateway_rtt=6.4ms internet=FAIL internet_rtt=N/A gateway_error=none internet_error=ping command timed out
[2026-09-08 11:04:58] gateway=OK gateway_rtt=7.0ms internet=OK internet_rtt=17.8ms gateway_error=none internet_error=none
[2026-09-08 11:04:58] EVENT_END type=INTERNET_ONLY duration=20s gateway=OK internet=OK
[2026-09-08 11:05:03] gateway=OK gateway_rtt=5.2ms internet=OK internet_rtt=18.4ms gateway_error=none internet_error=none
[2026-09-08 11:05:08] gateway=OK gateway_rtt=5.5ms internet=OK internet_rtt=16.5ms gateway_error=none internet_error=none
[2026-09-08 11:05:13] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=17.1ms gateway_error=none internet_error=none
[2026-09-08 11:05:18] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=16.0ms gateway_error=none internet_error=none
[2026-09-08 11:05:24] gateway=OK gateway_rtt=7.0ms internet=OK internet_rtt=22.3ms gateway_error=none internet_error=none
[2026-09-08 11:05:29] gateway=OK gateway_rtt=9.9ms internet=OK internet_rtt=16.9ms gateway_error=none internet_error=none
[2026-09-08 11:05:34] gateway=OK gateway_rtt=5.2ms internet=OK internet_rtt=19.3ms gateway_error=none internet_error=none
[2026-09-08 11:05:39] gateway=OK gateway_rtt=5.6ms internet=OK internet_rtt=20.5ms gateway_error=none internet_error=none
[2026-09-08 11:05:44] gateway=OK gateway_rtt=8.1ms internet=OK internet_rtt=18.4ms gateway_error=none internet_error=none
[2026-09-08 11:05:49] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=18.9ms gateway_error=none internet_error=none
[2026-09-08 11:05:54] gateway=OK gateway_rtt=8.0ms internet=OK internet_rtt=19.1ms gateway_error=none internet_error=none
[2026-09-08 11:05:59] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=19.3ms gateway_error=none internet_error=none
[2026-09-08 11:06:04] gateway=OK gateway_rtt=5.4ms internet=FAIL internet_rtt=N/A gateway_error=none internet_error=ping command timed out
[2026-09-08 11:06:04] EVENT_START type=INTERNET_ONLY gateway=OK internet=FAIL
[2026-09-08 11:06:14] gateway=OK gateway_rtt=5.7ms internet=OK internet_rtt=74.8ms gateway_error=none internet_error=none
[2026-09-08 11:06:14] EVENT_END type=INTERNET_ONLY duration=10s gateway=OK internet=OK
[2026-09-08 11:06:19] gateway=OK gateway_rtt=6.5ms internet=FAIL internet_rtt=N/A gateway_error=none internet_error=ping command timed out
[2026-09-08 11:06:19] EVENT_START type=INTERNET_ONLY gateway=OK internet=FAIL
[2026-09-08 11:06:29] gateway=OK gateway_rtt=6.9ms internet=OK internet_rtt=20.3ms gateway_error=none internet_error=none
[2026-09-08 11:06:29] EVENT_END type=INTERNET_ONLY duration=10s gateway=OK internet=OK
[2026-09-08 11:06:34] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=18.7ms gateway_error=none internet_error=none
[2026-09-08 11:06:39] gateway=OK gateway_rtt=8.3ms internet=OK internet_rtt=18.3ms gateway_error=none internet_error=none
[2026-09-08 11:06:44] gateway=OK gateway_rtt=5.5ms internet=OK internet_rtt=18.9ms gateway_error=none internet_error=none
[2026-09-08 11:06:49] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=25.4ms gateway_error=none internet_error=none
[2026-09-08 11:06:54] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=19.9ms gateway_error=none internet_error=none
[2026-09-08 11:06:59] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=25.3ms gateway_error=none internet_error=none
[2026-09-08 11:07:04] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=29.0ms gateway_error=none internet_error=none
[2026-09-08 11:07:09] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=23.3ms gateway_error=none internet_error=none
[2026-09-08 11:07:15] gateway=OK gateway_rtt=5.7ms internet=OK internet_rtt=18.1ms gateway_error=none internet_error=none
[2026-09-08 11:07:20] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=19.3ms gateway_error=none internet_error=none
[2026-09-08 11:07:25] gateway=OK gateway_rtt=7.9ms internet=OK internet_rtt=17.0ms gateway_error=none internet_error=none
