[SUMMARY] Log file: /Volumes/MOVESPEED/myCode/checkInternet/network_monitor_20260908_104939.txt
[SUMMARY] Total outage events detected: 142
[SUMMARY] Event 129: type=INTERNET_ONLY | start=2026-09-08 15:37:57 | end=2026-09-08 15:38:07 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 130: type=INTERNET_ONLY | start=2026-09-08 15:38:32 | end=2026-09-08 15:38:42 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 131: type=INTERNET_ONLY | start=2026-09-08 15:45:52 | end=2026-09-08 15:46:02 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 132: type=INTERNET_ONLY | start=2026-09-08 15:57:45 | end=2026-09-08 15:57:55 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 133: type=INTERNET_ONLY | start=2026-09-08 15:59:36 | end=2026-09-08 15:59:46 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 134: type=INTERNET_ONLY | start=2026-09-08 16:06:36 | end=2026-09-08 16:06:46 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 135: type=INTERNET_ONLY | start=2026-09-08 16:17:48 | end=2026-09-08 16:17:58 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 136: type=INTERNET_ONLY | start=2026-09-08 16:19:44 | end=2026-09-08 16:19:54 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 137: type=INTERNET_ONLY | start=2026-09-08 16:21:25 | end=2026-09-08 16:21:35 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 138: type=INTERNET_ONLY | start=2026-09-08 16:27:30 | end=2026-09-08 16:28:00 | duration=30s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 139: type=INTERNET_ONLY | start=2026-09-08 16:38:32 | end=2026-09-08 16:38:32 | duration=0s | gateway=OK->OK | internet=FAIL->FAIL
[SUMMARY] Event 140: type=INTERNET_ONLY | start=2026-09-08 16:41:34 | end=2026-09-08 16:41:44 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 141: type=INTERNET_ONLY | start=2026-09-08 16:43:55 | end=2026-09-08 16:44:05 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 142: type=INTERNET_ONLY | start=2026-09-08 16:48:28 | end=2026-09-08 16:48:38 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Breakdown by failure type:
  - INTERNET_ONLY: 142 event(s)
